orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg
17143392211,ACCOUNTIDENTIFIER,17143392211, Sell,MESU3,MES,Micro E-mini S&P 500,4418.5,1,07/25/2023 10:05:04,17143392211, Filled,-2,0,0.25,,17143392211,07/25/2023 10:05:04,8/28/23,1,multibracket, Market,,,,,1,4418.50,4418.5
17143392222,ACCOUNTIDENTIFIER,17143392222, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392232, Canceled,-2,0,0.25,,17143392232,07/25/2023 10:05:04,8/28/23,1,multibracket, Limit,4413.50,,4413.5,,,,
17143392224,ACCOUNTIDENTIFIER,17143392224, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392242, Canceled,-2,0,0.25,,17143392242,07/25/2023 10:09:03,8/28/23,1,multibracket, Stop,,4424.00,,4424.0,,,
17143392252,ACCOUNTIDENTIFIER,17143392252, Buy,MESU3,MES,Micro E-mini S&P 500,4421.5,1,07/25/2023 10:10:02,17143392252, Filled,-2,0,0.25,,17143392252,07/25/2023 10:10:02,8/28/23,1,Exit, Market,,,,,1,4421.50,4421.5
17143392264,ACCOUNTIDENTIFIER,17143392264, Buy,MESU3,MES,Micro E-mini S&P 500,4421.25,4,07/25/2023 10:20:15,17143392264, Filled,-2,0,0.25,,17143392264,07/25/2023 10:20:15,8/28/23,4,multibracket, Market,,,,,4,4421.25,4421.25
17143392273,ACCOUNTIDENTIFIER,17143392273, Sell,MESU3,MES,Micro E-mini S&P 500,,,,17143392392, Canceled,-2,0,0.25,,17143392392,07/25/2023 10:29:39,8/28/23,1,multibracket, Limit,4428.75,,4428.75,,,,
17143392275,ACCOUNTIDENTIFIER,17143392275, Sell,MESU3,MES,Micro E-mini S&P 500,4423.5,2,07/25/2023 10:29:39,17143392380, Filled,-2,0,0.25,,17143392380,07/25/2023 10:29:38,8/28/23,2,multibracket, Stop,,4423.50,,4423.5,2,4423.50,4423.5
17143392277,ACCOUNTIDENTIFIER,17143392277, Sell,MESU3,MES,Micro E-mini S&P 500,4422.75,2,07/25/2023 10:24:30,17143392305, Filled,-2,0,0.25,,17143392305,07/25/2023 10:20:56,8/28/23,2,multibracket, Limit,4422.75,,4422.75,,2,4422.75,4422.75
17143392279,ACCOUNTIDENTIFIER,17143392279, Sell,MESU3,MES,Micro E-mini S&P 500,,,,17143392285, Canceled,-2,0,0.25,,17143392285,07/25/2023 10:20:15,8/28/23,2,multibracket, Stop,,4418.75,,4418.75,,,
17143392408,ACCOUNTIDENTIFIER,17143392408, Sell,MESU3,MES,Micro E-mini S&P 500,4439.0,4,07/25/2023 16:13:45,17143392408, Filled,-2,0,0.25,,17143392408,07/25/2023 16:13:45,8/28/23,4,multibracket, Market,,,,,4,4439.00,4439.0
17143392417,ACCOUNTIDENTIFIER,17143392417, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392481, Canceled,-2,0,0.25,,17143392481,07/25/2023 16:14:17,8/28/23,1,multibracket, Limit,4434.00,,4434.0,,,,
17143392419,ACCOUNTIDENTIFIER,17143392419, Buy,MESU3,MES,Micro E-mini S&P 500,4438.375,2,07/25/2023 16:14:17,17143392459, Filled,-2,0,0.25,,17143392459,07/25/2023 16:14:17,8/28/23,2,multibracket, Stop,,4438.25,,4438.25,2,4438.38,4438.375
17143392421,ACCOUNTIDENTIFIER,17143392421, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392483, Canceled,-2,0,0.25,,17143392483,07/25/2023 16:14:17,8/28/23,1,multibracket, Limit,4434.00,,4434.0,,,,
17143392423,ACCOUNTIDENTIFIER,17143392423, Buy,MESU3,MES,Micro E-mini S&P 500,4438.375,2,07/25/2023 16:14:17,17143392457, Filled,-2,0,0.25,,17143392457,07/25/2023 16:14:17,8/28/23,2,multibracket, Stop,,4438.25,,4438.25,2,4438.38,4438.375
17143392512,ACCOUNTIDENTIFIER,17143392512, Sell,MESU3,MES,Micro E-mini S&P 500,,,,17143392512, Canceled,-2,0,0.25,,17143392512,07/25/2023 16:14:36,8/28/23,4,multibracket, Limit,4440.25,,4440.25,,,,
17143392515,ACCOUNTIDENTIFIER,17143392515, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392515, Canceled,-2,0,0.25,,17143392515,07/25/2023 16:14:36,8/28/23,2,multibracket, Limit,4435.25,,4435.25,,,,
17143392517,ACCOUNTIDENTIFIER,17143392517, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392517, Canceled,-2,0,0.25,,17143392517,07/25/2023 16:14:36,8/28/23,2,multibracket, Stop,,4442.75,,4442.75,,,
17143392519,ACCOUNTIDENTIFIER,17143392519, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392519, Canceled,-2,0,0.25,,17143392519,07/25/2023 16:14:36,8/28/23,2,multibracket, Limit,4435.25,,4435.25,,,,
17143392521,ACCOUNTIDENTIFIER,17143392521, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392521, Canceled,-2,0,0.25,,17143392521,07/25/2023 16:14:36,8/28/23,2,multibracket, Stop,,4442.75,,4442.75,,,
17143392539,ACCOUNTIDENTIFIER,17143392539, Buy,MESU3,MES,Micro E-mini S&P 500,4442.0,1,07/25/2023 16:22:57,17143392539, Filled,-2,0,0.25,,17143392539,07/25/2023 16:22:57,8/28/23,1,multibracket, Limit,4442.00,,4442.0,,1,4442.00,4442.0
17143392542,ACCOUNTIDENTIFIER,17143392542, Sell,MESU3,MES,Micro E-mini S&P 500,,,,17143392558, Canceled,-2,0,0.25,,17143392558,07/25/2023 16:22:57,8/28/23,1,multibracket, Limit,4447.00,,4447.0,,,,
17143392544,ACCOUNTIDENTIFIER,17143392544, Sell,MESU3,MES,Micro E-mini S&P 500,4444.75,1,07/25/2023 16:25:10,17143392584, Filled,-2,0,0.25,,17143392584,07/25/2023 16:25:06,8/28/23,1,multibracket, Stop,,4444.75,,4444.75,1,4444.75,4444.75
17143392600,ACCOUNTIDENTIFIER,17143392600, Sell,MESU3,MES,Micro E-mini S&P 500,4440.0,1,07/25/2023 16:40:29,17143392600, Filled,-2,0,0.25,,17143392600,07/25/2023 16:40:29,8/28/23,1,multibracket, Market,,,,,1,4440.00,4440.0
17143392609,ACCOUNTIDENTIFIER,17143392609, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392619, Canceled,-2,0,0.25,,17143392619,07/25/2023 16:40:29,8/28/23,1,multibracket, Limit,4435.00,,4435.0,,,,
17143392611,ACCOUNTIDENTIFIER,17143392611, Buy,MESU3,MES,Micro E-mini S&P 500,4439.25,1,07/25/2023 16:42:05,17143392633, Filled,-2,0,0.25,,17143392633,07/25/2023 16:41:51,8/28/23,1,multibracket, Stop,,4439.25,,4439.25,1,4439.25,4439.25
17143392649,ACCOUNTIDENTIFIER,17143392649, Sell,MESU3,MES,Micro E-mini S&P 500,,,,17143392649, Canceled,-2,0,0.25,,17143392649,07/25/2023 16:42:26,8/28/23,1,multibracket, Limit,4440.75,,4440.75,,,,
17143392652,ACCOUNTIDENTIFIER,17143392652, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392658, Canceled,-2,0,0.25,,17143392658,07/25/2023 16:42:57,8/28/23,1,multibracket, Limit,4432.75,,4432.75,,,,
17143392654,ACCOUNTIDENTIFIER,17143392654, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392656, Canceled,-2,0,0.25,,17143392656,07/25/2023 16:42:40,8/28/23,1,multibracket, Stop,,4445.50,,4445.5,,,
17143392672,ACCOUNTIDENTIFIER,17143392672, Sell,MESU3,MES,Micro E-mini S&P 500,,,,17143392672, Canceled,-2,0,0.25,,17143392672,07/25/2023 16:44:28,8/28/23,1,multibracket, Limit,4440.50,,4440.5,,,,
17143392675,ACCOUNTIDENTIFIER,17143392675, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392675, Canceled,-2,0,0.25,,17143392675,07/25/2023 16:44:28,8/28/23,1,multibracket, Limit,4435.50,,4435.5,,,,
17143392677,ACCOUNTIDENTIFIER,17143392677, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392677, Canceled,-2,0,0.25,,17143392677,07/25/2023 16:44:28,8/28/23,1,multibracket, Stop,,4443.00,,4443.0,,,
17143392689,ACCOUNTIDENTIFIER,17143392689, Sell,MESU3,MES,Micro E-mini S&P 500,,,,17143392689, Canceled,-2,0,0.25,,17143392689,07/25/2023 16:46:18,8/28/23,1,multibracket, Limit,4440.75,,4440.75,,,,
17143392692,ACCOUNTIDENTIFIER,17143392692, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392700, Canceled,-2,0,0.25,,17143392700,07/25/2023 16:46:47,8/28/23,1,multibracket, Limit,4431.25,,4431.25,,,,
17143392694,ACCOUNTIDENTIFIER,17143392694, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392696, Canceled,-2,0,0.25,,17143392696,07/25/2023 16:46:25,8/28/23,1,multibracket, Stop,,4446.50,,4446.5,,,
17143392715,ACCOUNTIDENTIFIER,17143392715, Sell,MESU3,MES,Micro E-mini S&P 500,,,,17143392732, Canceled,-2,0,0.25,,17143392732,07/25/2023 16:49:15,8/28/23,2,multibracket, Limit,4440.75,,4440.75,,,,
17143392718,ACCOUNTIDENTIFIER,17143392718, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392742, Canceled,-2,0,0.25,,17143392742,07/25/2023 16:50:27,8/28/23,2,multibracket, Limit,4429.00,,4429.0,,,,
17143392720,ACCOUNTIDENTIFIER,17143392720, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392744, Canceled,-2,0,0.25,,17143392744,07/25/2023 16:50:57,8/28/23,2,multibracket, Stop,,4446.75,,4446.75,,,
17143392764,ACCOUNTIDENTIFIER,17143392764, Sell,MESU3,MES,Micro E-mini S&P 500,4427.5,2,07/25/2023 18:08:37,17143392764, Filled,-2,0,0.25,,17143392764,07/25/2023 18:08:37,8/28/23,2,multibracket, Market,,,,,2,4427.50,4427.5
17143392773,ACCOUNTIDENTIFIER,17143392773, Buy,MESU3,MES,Micro E-mini S&P 500,4425.25,2,07/25/2023 18:20:12,17143392847, Filled,-2,0,0.25,,17143392847,07/25/2023 18:13:43,8/28/23,2,multibracket, Limit,4425.25,,4425.25,,2,4425.25,4425.25
17143392775,ACCOUNTIDENTIFIER,17143392775, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392895, Canceled,-2,0,0.25,,17143392895,07/25/2023 18:20:08,8/28/23,2,multibracket, Stop,,4427.75,,4427.75,,,
17143392818,ACCOUNTIDENTIFIER,17143392818, Sell,MESU3,MES,Micro E-mini S&P 500,4431.0,2,07/25/2023 18:13:27,17143392818, Filled,-2,0,0.25,,17143392818,07/25/2023 18:13:27,8/28/23,2,multibracket, Market,,,,,2,4431.00,4431.0
17143392827,ACCOUNTIDENTIFIER,17143392827, Buy,MESU3,MES,Micro E-mini S&P 500,4426.0,2,07/25/2023 18:20:10,17143392837, Filled,-2,0,0.25,,17143392837,07/25/2023 18:13:27,8/28/23,2,multibracket, Limit,4426.00,,4426.0,,2,4426.00,4426.0
17143392829,ACCOUNTIDENTIFIER,17143392829, Buy,MESU3,MES,Micro E-mini S&P 500,,,,17143392897, Canceled,-2,0,0.25,,17143392897,07/25/2023 18:20:08,8/28/23,2,multibracket, Stop,,4427.75,,4427.75,,,
