symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MESU3,-2,0,0.25,17143392255,17143392214,1,4421.50,4418.50,$(15.00),07/25/2023 10:10:02,07/25/2023 10:05:04,4min 58sec
MESU3,-2,0,0.25,17143392267,17143392321,2,4421.25,4422.75,$15.00,07/25/2023 10:20:15,07/25/2023 10:24:30,4min 14sec
MESU3,-2,0,0.25,17143392267,17143392384,1,4421.25,4423.50,$11.25,07/25/2023 10:20:15,07/25/2023 10:29:39,9min 23sec
MESU3,-2,0,0.25,17143392267,17143392396,1,4421.25,4423.50,$11.25,07/25/2023 10:20:15,07/25/2023 10:29:43,9min 27sec
MESU3,-2,0,0.25,17143392465,17143392411,1,4438.25,4439.00,$3.75,07/25/2023 16:14:17,07/25/2023 16:13:45,31sec
MESU3,-2,0,0.25,17143392473,17143392411,1,4438.25,4439.00,$3.75,07/25/2023 16:14:17,07/25/2023 16:13:45,31sec
MESU3,-2,0,0.25,17143392489,17143392411,1,4438.50,4439.00,$2.50,07/25/2023 16:14:19,07/25/2023 16:13:45,33sec
MESU3,-2,0,0.25,17143392497,17143392411,1,4438.50,4439.00,$2.50,07/25/2023 16:14:19,07/25/2023 16:13:45,33sec
MESU3,-2,0,0.25,17143392546,17143392588,1,4442.00,4444.75,$13.75,07/25/2023 16:22:57,07/25/2023 16:25:10,2min 12sec
MESU3,-2,0,0.25,17143392637,17143392603,1,4439.25,4440.00,$3.75,07/25/2023 16:42:05,07/25/2023 16:40:29,1min 36sec
MESU3,-2,0,0.25,17143392903,17143392767,2,4426.00,4427.50,$15.00,07/25/2023 18:20:10,07/25/2023 18:08:37,11min 32sec
MESU3,-2,0,0.25,17143392914,17143392821,2,4425.25,4431.00,$57.50,07/25/2023 18:20:12,07/25/2023 18:13:27,6min 45sec
